strategy,model,description,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,default_threshold,default_accuracy,default_precision,default_recall,default_f1,default_roc_auc,default_pr_auc,default_fp,default_fn,f1_threshold,validation_f1,tuned_accuracy,tuned_precision,tuned_recall,tuned_f1,tuned_roc_auc,tuned_pr_auc,tuned_fp,tuned_fn,recall_threshold,validation_recall,recall_mode_precision,recall_mode_recall,recall_mode_f1,recall_mode_fp,recall_mode_fn
Baseline,Logistic Regression,Aucune correction du déséquilibre.,0.013462436256553904,0.025914919914542606,0.7194901923862108,0.2251035787607367,0.5,0.8965,0.2857142857142857,0.00980392156862745,0.018957345971563982,0.7231866020350234,0.23915235215266162,5,202,0.145,0.296875,0.7725,0.214123006833713,0.46078431372549017,0.29237947122861585,0.7231866020350234,0.23915235215266162,345,110,0.05,0.8957055214723927,0.12985179957657023,0.9019607843137255,0.2270203578038248,1233,20
Baseline,Random Forest,Aucune correction du déséquilibre.,0.0,0.0,0.7973240668247962,0.28280446631626754,0.5,0.898,0.0,0.0,0.0,0.7977204244726843,0.29610192679273023,0,204,0.13,0.3982808022922636,0.717,0.24068767908309455,0.8235294117647058,0.37250554323725055,0.7977204244726843,0.29610192679273023,530,36,0.05,0.9386503067484663,0.1631762652705061,0.9166666666666666,0.277037037037037,959,17
Baseline,Gradient Boosting,Aucune correction du déséquilibre.,0.06610913596207714,0.1153248926383799,0.8067528631738936,0.31026084241242735,0.5,0.894,0.4,0.0784313725490196,0.13114754098360656,0.8092315712476528,0.3184729266906872,24,188,0.135,0.4005891016200295,0.7245,0.24597364568081992,0.8235294117647058,0.3788049605411499,0.8092315712476528,0.3184729266906872,515,36,0.05,0.8957055214723927,0.23398692810457516,0.8774509803921569,0.36945304437564497,586,25
Baseline,MLP,Aucune correction du déséquilibre.,0.006127450980392157,0.011494252873563218,0.5867125487142176,0.1419667405065448,0.5,0.898,0.0,0.0,0.0,0.5521229092973492,0.12265093707302155,0,204,0.05,0.1865671641791045,0.3805,0.114668652271035,0.7549019607843137,0.19909502262443438,0.5521229092973492,0.12265093707302155,1189,50,0.05,0.7668711656441718,0.114668652271035,0.7549019607843137,0.19909502262443438,1189,50
Class Weight,Logistic Regression,Pondération des classes dans les modèles compatibles.,0.6671065862242332,0.2921750981915343,0.7169069724353264,0.2243585446657245,0.5,0.664,0.18206521739130435,0.6568627450980392,0.2851063829787234,0.7244666797676754,0.24010748573918694,602,70,0.6,0.30115830115830117,0.768,0.21238938053097345,0.47058823529411764,0.2926829268292683,0.7244666797676754,0.24010748573918694,356,108,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
Class Weight,Random Forest,Pondération des classes dans les modèles compatibles.,0.11265082956259427,0.16466832858984412,0.7995766192813463,0.2731337810910759,0.5,0.8665,0.29411764705882354,0.22058823529411764,0.25210084033613445,0.7868575046945282,0.26400375406039955,108,159,0.30999999999999994,0.40364188163884673,0.728,0.24777448071216618,0.8186274509803921,0.3804100227790433,0.7868575046945282,0.26400375406039955,507,37,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
Class Weight,Gradient Boosting,Pondération des classes dans les modèles compatibles.,0.06610913596207714,0.1153248926383799,0.8067528631738936,0.31026084241242735,0.5,0.894,0.4,0.0784313725490196,0.13114754098360656,0.8092315712476528,0.3184729266906872,24,188,0.135,0.4005891016200295,0.7245,0.24597364568081992,0.8235294117647058,0.3788049605411499,0.8092315712476528,0.3184729266906872,515,36,0.05,0.8957055214723927,0.23398692810457516,0.8774509803921569,0.36945304437564497,586,25
Class Weight,MLP,Pondération des classes dans les modèles compatibles.,0.006127450980392157,0.011494252873563218,0.5867125487142176,0.1419667405065448,0.5,0.898,0.0,0.0,0.0,0.5521229092973492,0.12265093707302155,0,204,0.05,0.1865671641791045,0.3805,0.114668652271035,0.7549019607843137,0.19909502262443438,0.5521229092973492,0.12265093707302155,1189,50,0.05,0.7668711656441718,0.114668652271035,0.7549019607843137,0.19909502262443438,1189,50
Random Over-Sampling,Logistic Regression,Duplication aléatoire de la classe minoritaire.,0.656068196509373,0.28843363937768923,0.7148164855995275,0.22259173041259142,0.5,0.6635,0.18095238095238095,0.6519607843137255,0.2832800851970181,0.7203616970173369,0.23404882754270376,602,71,0.625,0.29957805907172996,0.7915,0.23037974683544304,0.44607843137254904,0.3038397328881469,0.7203616970173369,0.23404882754270376,304,113,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
Random Over-Sampling,Random Forest,Duplication aléatoire de la classe minoritaire.,0.27539862098685625,0.27335352682002056,0.7963239079067342,0.2729697940295233,0.5,0.838,0.3,0.4411764705882353,0.35714285714285715,0.8010175116817329,0.2679012111630622,210,114,0.38999999999999996,0.4065040650406504,0.751,0.2629032258064516,0.7990196078431373,0.39563106796116504,0.8010175116817329,0.2679012111630622,457,41,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
